2008-07-27,234
2008-08-03,2730
2008-08-10,3197
2008-08-17,5830
2008-08-24,6892
2008-08-31,7076
2008-09-07,8357
2008-09-14,30842
2008-09-21,23297
2008-09-28,18320
2008-10-05,16424
2008-10-12,14932
2008-10-19,15125
2008-10-26,13737
2008-11-02,14027
2008-11-09,13586
2008-11-16,13336
2008-11-23,11869
2008-11-30,13110
2008-12-07,13361
2008-12-14,13063
2008-12-21,8113
2008-12-28,10285
2009-01-04,15763
2009-01-11,16512
2009-01-18,16569
2009-01-25,17203
2009-02-01,18801
2009-02-08,19510
2009-02-15,18314
2009-02-22,19692
2009-03-01,19050
2009-03-08,19157
2009-03-15,18471
2009-03-22,18988
2009-03-29,19389
2009-04-05,18538
2009-04-12,18732
2009-04-19,20648
2009-04-26,20968
2009-05-03,23219
2009-05-10,23979
2009-05-17,23834
2009-05-24,23218
2009-05-31,24635
2009-06-07,25459
2009-06-14,25445
2009-06-21,25597
2009-06-28,24083
2009-07-05,26318
2009-07-12,27902
2009-07-19,28197
2009-07-26,28114
2009-08-02,26401
2009-08-09,27222
2009-08-16,27973
2009-08-23,28944
2009-08-30,26513
2009-09-06,26580
2009-09-13,27418
2009-09-20,26806
2009-09-27,27310
2009-10-04,28699
2009-10-11,28353
2009-10-18,29687
2009-10-25,30202
2009-11-01,32470
2009-11-08,33985
2009-11-15,33938
2009-11-22,30747
2009-11-29,32994
2009-12-06,33772
2009-12-13,32951
2009-12-20,24855
2009-12-27,23865
2010-01-03,35049
2010-01-10,36423
2010-01-17,38074
2010-01-24,37604
2010-01-31,37947
2010-02-07,37014
2010-02-14,37189
2010-02-21,37460
2010-02-28,37513
2010-03-07,38428
2010-03-14,37222
2010-03-21,38110
2010-03-28,34138
2010-04-04,35322
2010-04-11,37509
2010-04-18,38234
2010-04-25,37835
2010-05-02,36420
2010-05-09,37632
2010-05-16,40043
2010-05-23,38845
2010-05-30,38151
2010-06-06,39915
2010-06-13,39389
2010-06-20,39999
2010-06-27,39855
2010-07-04,40624
2010-07-11,44169
2010-07-18,45011
2010-07-25,44206
2010-08-01,43908
2010-08-08,44276
2010-08-15,45229
2010-08-22,45397
2010-08-29,43503
2010-09-05,40961
2010-09-12,42936
2010-09-19,43664
2010-09-26,43772
2010-10-03,42394
2010-10-10,44632
2010-10-17,46449
2010-10-24,45848
2010-10-31,46154
2010-11-07,50353
2010-11-14,51013
2010-11-21,49567
2010-11-28,52352
2010-12-05,52710
2010-12-12,51289
2010-12-19,43063
2010-12-26,37122
2011-01-02,51502
2011-01-09,56856
2011-01-16,58796
2011-01-23,58879
2011-01-30,60262
2011-02-06,60827
2011-02-13,62480
2011-02-20,65420
2011-02-27,65729
2011-03-06,67247
2011-03-13,68007
2011-03-20,68671
2011-03-27,68575
2011-04-03,69855
2011-04-10,69528
2011-04-17,65828
2011-04-24,65747
2011-05-01,67322
2011-05-08,68836
2011-05-15,67831
2011-05-22,68379
2011-05-29,63956
2011-06-05,67357
2011-06-12,68509
2011-06-19,69356
2011-06-26,66664
2011-07-03,66082
2011-07-10,70155
2011-07-17,70395
2011-07-24,70248
2011-07-31,70538
2011-08-07,71899
2011-08-14,69317
2011-08-21,70198
